,start_verse_num,end_verse_num,start_verse,end_verse,avg_embedding
0,0,225,1 Nephi 1 1,1 Nephi 10.19,"[-0.0315694  -0.03151299 -0.03154563 -0.03157923 -0.03157101 -0.03152911
 -0.03155661 -0.0315536  -0.03157381 -0.03154745 -0.03154109 -0.03154616
 -0.03153021 -0.03157182 -0.03154281 -0.03154344 -0.0315721  -0.03154421
 -0.03153614 -0.03155378 -0.03153195 -0.03157118 -0.03154355 -0.03154659
 -0.03157879 -0.03156713 -0.03153023 -0.03155046 -0.03154007 -0.03153631
 -0.03155569 -0.03157861 -0.03152942 -0.03156449 -0.03155301 -0.03154836
 -0.03154451 -0.03153629 -0.03157836 -0.03156763 -0.03151625 -0.03152422
 -0.03153279 -0.03154557 -0.03155723 -0.03156576 -0.03153602 -0.03151863
 -0.03153189 -0.03153691 -0.03154352 -0.03154123 -0.03153859 -0.03158498
 -0.03155268 -0.0315597  -0.03155068 -0.03154159 -0.0315489  -0.03154445
 -0.03154226 -0.03152485 -0.03155643 -0.03155872 -0.03154759 -0.03155633
 -0.03152908 -0.03156378 -0.0315539  -0.03154285 -0.03153331 -0.0315536
 -0.03156815 -0.03154199 -0.03153166 -0.03154872 -0.03153583 -0.03153719
 -0.03156512 -0.03153599 -0.03153439 -0.03153687 -0.03156304 -0.03153798
 -0.03156429 -0.03148499 -0.0315567  -0.03156001 -0.0315644  -0.03147422
 -0.03155931 -0.03153851 -0.03153316 -0.03156337 -0.03154087 -0.03154244
 -0.03152433 -0.03154621 -0.03155882 -0.03155527 -0.03152507 -0.03152849
 -0.03156695 -0.03156791 -0.03151555 -0.03155544 -0.03153243 -0.03151863
 -0.03154734 -0.03150621 -0.03154686 -0.03153044 -0.03151597 -0.03152783
 -0.03153532 -0.03154135 -0.0315354  -0.03152339 -0.0315735  -0.03154104
 -0.03153511 -0.03151765 -0.03153483 -0.03156939 -0.03158072 -0.03155836
 -0.03157189 -0.03156848 -0.0315515  -0.03151303 -0.03152297 -0.03157985
 -0.03154396 -0.03151378 -0.03153741 -0.03159945 -0.03154855 -0.03159407
 -0.03154263 -0.03155008 -0.03155109 -0.03156195 -0.03152973 -0.03154949
 -0.03152835 -0.03154602 -0.03154527 -0.03151419 -0.03156281 -0.03152392
 -0.03152821 -0.03150065 -0.03157353 -0.03152179 -0.03155122 -0.03155978
 -0.03155487 -0.03156055 -0.03155018 -0.03153545 -0.0315729  -0.0315633
 -0.03153252 -0.03156366 -0.03157991 -0.03157898 -0.03151658 -0.0315494
 -0.03155269 -0.03156311 -0.03154884 -0.03152611 -0.03156679 -0.03152662
 -0.03157766 -0.03154283 -0.03155893 -0.03156637 -0.0315581  -0.0315225
 -0.03153248 -0.0315379  -0.03156561 -0.03153223 -0.03154977 -0.03156595
 -0.03154569 -0.03153762 -0.03158511 -0.03157219 -0.03156411 -0.03155767
 -0.03160524 -0.03156051 -0.03158026 -0.03152809 -0.0315567  -0.03155955
 -0.03160606 -0.03156922 -0.03152605 -0.03156769 -0.03157583 -0.03158625
 -0.03154691 -0.03153759 -0.03154701 -0.03156481 -0.03155018 -0.03157691
 -0.03152427 -0.03153067 -0.03155831 -0.03153292 -0.03152891 -0.03153159
 -0.0315403  -0.03154118 -0.03154099 -0.03154407 -0.03156434 -0.03157354
 -0.03157799 -0.0315313  -0.03154292 -0.03157176]"
1,225,237,1 Nephi 10 19,1 Nephi 11.9,"[-0.03157176 -0.03153408 -0.03155263 -0.03152282 -0.031554   -0.03152663
 -0.03155203 -0.03154651 -0.03154089 -0.03149201 -0.03157045 -0.03156786
 -0.03158507]"
2,237,286,1 Nephi 11 9,1 Nephi 12.22,"[-0.03158507 -0.03154012 -0.03153099 -0.03158652 -0.03155768 -0.03158817
 -0.03158223 -0.03154917 -0.03156698 -0.03155908 -0.03154508 -0.03153843
 -0.03154577 -0.03159929 -0.03154568 -0.03154478 -0.03154522 -0.03153724
 -0.0315353  -0.03151871 -0.03156145 -0.03156437 -0.0315458  -0.03154833
 -0.03151779 -0.03153264 -0.03151601 -0.03158012 -0.0315775  -0.03152199
 -0.03155576 -0.03153457 -0.03152926 -0.0315295  -0.03154563 -0.03156711
 -0.03155205 -0.03155784 -0.03156874 -0.03154243 -0.03154488 -0.03152995
 -0.03152472 -0.03152401 -0.03155834 -0.03156149 -0.03153306 -0.03153047
 -0.0315472  -0.03152514]"
3,286,334,1 Nephi 12 22,1 Nephi 14.5,"[-0.03152514 -0.03148242 -0.03155065 -0.03154364 -0.03154389 -0.0315459
 -0.03158062 -0.03153233 -0.0315743  -0.03158304 -0.03152099 -0.03154814
 -0.03154995 -0.03152158 -0.03151837 -0.0315048  -0.03150035 -0.03153337
 -0.03150641 -0.03149518 -0.03153173 -0.03152253 -0.03155315 -0.03157624
 -0.03154847 -0.0315732  -0.03153268 -0.03154886 -0.03152604 -0.0315438
 -0.03154074 -0.03156707 -0.03151761 -0.03154901 -0.03152753 -0.03156322
 -0.03155217 -0.03152926 -0.03156    -0.03153188 -0.03152875 -0.03156713
 -0.03152915 -0.03154824 -0.03151725 -0.03152748 -0.03154096 -0.03152306
 -0.03156637]"
4,334,335,1 Nephi 14 5,1 Nephi 14.6,[-0.03156637 -0.03156613]
5,335,533,1 Nephi 14 6,1 Nephi 19.19,"[-0.03156613 -0.03155794 -0.03154677 -0.03155914 -0.03155405 -0.03154433
 -0.03154639 -0.03152204 -0.03153107 -0.03153001 -0.03156699 -0.03154142
 -0.03157795 -0.03154053 -0.03157472 -0.03151675 -0.03155854 -0.03156151
 -0.03152392 -0.031526   -0.03154547 -0.03153395 -0.0315923  -0.03153032
 -0.03156974 -0.03155587 -0.03154098 -0.03153143 -0.03156517 -0.03155326
 -0.03157058 -0.03153294 -0.03154412 -0.03152026 -0.03157321 -0.03153862
 -0.03156323 -0.03152519 -0.03156773 -0.03154294 -0.0315553  -0.03155797
 -0.03154152 -0.03152297 -0.03154459 -0.03155297 -0.03156287 -0.03154701
 -0.03156218 -0.03154732 -0.03153021 -0.03155907 -0.03153094 -0.03156352
 -0.0315317  -0.03151975 -0.03157402 -0.03155918 -0.03158003 -0.03155652
 -0.03155877 -0.03158017 -0.03155581 -0.0315485  -0.031535   -0.03153204
 -0.03156462 -0.03155351 -0.03154842 -0.03153317 -0.03156277 -0.03157242
 -0.03157132 -0.03154885 -0.03154387 -0.03155627 -0.03155249 -0.03156298
 -0.03154561 -0.03156279 -0.03155369 -0.03157219 -0.03152491 -0.03158285
 -0.03155355 -0.03153401 -0.03156507 -0.03149325 -0.03151443 -0.0315543
 -0.03152957 -0.03156619 -0.03153666 -0.03156921 -0.03155328 -0.03154917
 -0.03151747 -0.03151044 -0.03154907 -0.03154424 -0.03155882 -0.03155552
 -0.03154775 -0.0315278  -0.03151817 -0.03157953 -0.0315338  -0.03155411
 -0.03152459 -0.03153401 -0.03154969 -0.03154531 -0.03155497 -0.031511
 -0.03153379 -0.03155517 -0.03155005 -0.03155484 -0.03156292 -0.03154395
 -0.03151403 -0.03153458 -0.03157945 -0.03148785 -0.03155151 -0.03154584
 -0.03150011 -0.03153851 -0.03148861 -0.03155168 -0.03151917 -0.03149777
 -0.03155418 -0.03152774 -0.03155644 -0.03153668 -0.03156086 -0.03157254
 -0.03156195 -0.03157109 -0.03153939 -0.03153633 -0.03155535 -0.03152975
 -0.03154047 -0.03154643 -0.03152239 -0.03155691 -0.0315483  -0.03158033
 -0.03160119 -0.03156191 -0.03155132 -0.03155818 -0.03155532 -0.03153377
 -0.03154615 -0.0315169  -0.03154151 -0.031519   -0.03155047 -0.03156063
 -0.03154966 -0.03155098 -0.03155926 -0.0315383  -0.03153684 -0.03154854
 -0.03152519 -0.03153891 -0.03152897 -0.03154352 -0.03155832 -0.03155287
 -0.03156597 -0.03155069 -0.03153783 -0.03154767 -0.03155159 -0.03155497
 -0.0315701  -0.03157176 -0.03156263 -0.03154007 -0.03153989 -0.03156283
 -0.03157578 -0.0315319  -0.03156075 -0.03154596 -0.03154992 -0.03152715
 -0.0315531  -0.03150709 -0.03156521 -0.03149666 -0.0314876  -0.03153899
 -0.03154638]"
6,533,534,1 Nephi 19 19,1 Nephi 19.20,[-0.03154638 -0.03150997]
7,534,566,1 Nephi 19 20,1 Nephi 21.6,"[-0.03150997 -0.03152861 -0.03153295 -0.03153819 -0.03153627 -0.03153711
 -0.03152369 -0.0315381  -0.03151063 -0.03152946 -0.03154849 -0.03152072
 -0.03150212 -0.03155371 -0.03151745 -0.0315071  -0.03155702 -0.03155743
 -0.03155724 -0.03153433 -0.0315395  -0.03155257 -0.03151873 -0.03152761
 -0.03154981 -0.03153398 -0.03152922 -0.03153591 -0.03153809 -0.03152089
 -0.03154966 -0.03155126 -0.03151113]"
8,566,567,1 Nephi 21 6,1 Nephi 21.7,[-0.03151113 -0.03156574]
9,567,807,1 Nephi 21 7,2 Nephi 8.5,"[-0.03156574 -0.03155121 -0.03157054 -0.03154934 -0.03156669 -0.03154467
 -0.03152941 -0.03152452 -0.03151029 -0.03153108 -0.03149935 -0.03155772
 -0.03155075 -0.03157998 -0.03164179 -0.03154579 -0.03154114 -0.03154782
 -0.03153733 -0.03152744 -0.03156929 -0.03152889 -0.03155106 -0.03155424
 -0.03154511 -0.03155234 -0.03156126 -0.03157486 -0.03153631 -0.03157537
 -0.03156838 -0.03154031 -0.03153768 -0.03151207 -0.03154428 -0.0315247
 -0.03156283 -0.03156983 -0.03150421 -0.03153949 -0.03154282 -0.03151885
 -0.0315442  -0.03153085 -0.03152892 -0.03152953 -0.03154183 -0.0315282
 -0.03157684 -0.03153989 -0.03153297 -0.03156725 -0.03152424 -0.03154161
 -0.031555   -0.03157079 -0.03156166 -0.03154427 -0.0315635  -0.03155292
 -0.03155752 -0.03150737 -0.03152377 -0.03157642 -0.03154878 -0.03151989
 -0.0315312  -0.03155093 -0.03155404 -0.03156339 -0.03153833 -0.03154532
 -0.03155961 -0.03156595 -0.03156073 -0.03153098 -0.03155517 -0.03154468
 -0.03156919 -0.03153225 -0.03154074 -0.03157436 -0.03151943 -0.03160402
 -0.0315541  -0.03154117 -0.03156221 -0.03153544 -0.03152187 -0.03157173
 -0.03156414 -0.03156017 -0.03153744 -0.03154417 -0.03154444 -0.03156011
 -0.03158332 -0.03154049 -0.03155544 -0.03154219 -0.0315618  -0.03156598
 -0.03154346 -0.03155719 -0.03156994 -0.03157033 -0.03154765 -0.03154917
 -0.03155045 -0.03156499 -0.03154811 -0.03156059 -0.03156436 -0.03159545
 -0.03155336 -0.0315772  -0.03152689 -0.0315465  -0.03152592 -0.03155118
 -0.03157133 -0.03152412 -0.0315328  -0.0315564  -0.03153681 -0.03152264
 -0.03156488 -0.03153291 -0.03151321 -0.03156272 -0.0315734  -0.03157187
 -0.03153644 -0.03154631 -0.03152054 -0.03150927 -0.03156137 -0.03157456
 -0.0315398  -0.0315395  -0.03156163 -0.03154441 -0.03157074 -0.03154353
 -0.03153564 -0.03158009 -0.03158527 -0.03151695 -0.03155769 -0.03156476
 -0.0315684  -0.03156447 -0.03156629 -0.03153671 -0.03156776 -0.03155362
 -0.0315474  -0.03152504 -0.03152638 -0.0315281  -0.03151537 -0.03152913
 -0.03152426 -0.03158213 -0.03155918 -0.03157197 -0.03158033 -0.03153898
 -0.03154828 -0.03158171 -0.03156034 -0.03154107 -0.03152503 -0.03152984
 -0.03152491 -0.03155555 -0.03154304 -0.03154374 -0.03155793 -0.03150107
 -0.03155033 -0.03152213 -0.03152994 -0.03156182 -0.03154545 -0.03155944
 -0.03155543 -0.03156708 -0.03155453 -0.03154099 -0.03156125 -0.03156006
 -0.03153597 -0.03153959 -0.03151153 -0.03154131 -0.03153197 -0.0315668
 -0.03154371 -0.03156509 -0.03155939 -0.03158615 -0.0315463  -0.03154339
 -0.03156296 -0.03157266 -0.03156352 -0.03156916 -0.03156282 -0.03155523
 -0.03154619 -0.03155581 -0.03155323 -0.03154547 -0.03155925 -0.03155607
 -0.03152973 -0.03155974 -0.03155588 -0.03151933 -0.0315633  -0.03151646
 -0.03153942 -0.03152992 -0.03152281 -0.03157071 -0.03158621 -0.03153416
 -0.03154332 -0.03151637 -0.03155237 -0.0315424  -0.03157273 -0.03154506
 -0.03154749 -0.03156448 -0.03157918 -0.03155294 -0.03153487 -0.03152033
 -0.03153514]"
